PLAYER,AGE,TM,MAIN POS,OTHER POS,W,L,IP,HA,BB,K,ER,SV,ERA,WHIP,K/9,QS,GS,G,HRA,WERTH Roto Value,Pos-Adjusted WERTH Value,ADP
Andrew Alvarez,26,WSN,SP,,3.182923928,6.041184031,73,77.13533749,28.27393223,46.68810549,36.62646039,0,4.515591007,1.443962599,5.7560678,7,10.972,31,8.205837209,-8.08023729,-5.689477295,
Caden Dana,22,LAA,SP,,4.483367788,6.913434645,98,95.68306888,41.99149826,79.95199425,54.23405425,0,4.980678451,1.404842522,7.342530084,6,18.14,17,17.01065061,-8.231818258,-5.841058264,
Randy Vasquez,27,SD,SP,,6.653719683,9.770357212,130,135.6750949,46.71130457,81.53538409,70.03011607,0,4.848238805,1.402972304,5.64475736,9,24.36,32,19.48466898,-8.241291706,-5.850531712,
Alek Manoah,28,LAA,SP,,3.891257392,5.907117837,75,76.55818619,30.27043727,65.48538303,42.35477441,0,5.08257293,1.424381646,7.858245964,5,14.192,15,11.89826363,-8.241607993,-5.850847999,
Jake Irvin,29,WSN,SP,,5.460954499,9.788299485,129,133.9773667,43.23656304,81.5000345,69.71893695,0,4.86411188,1.373751393,5.686048919,10,21.788,32,20.20434106,-8.251233154,-5.86047316,
Ryan Bergert,25,KC,SP,,3.069606556,5.219932962,71,72.1658713,29.66883301,51.44590567,38.01640555,0,4.818980985,1.43429161,6.521311987,5,12.52,26,10.32646568,-8.330440381,-5.939680387,
Thomas Harrington,24,PIT,SP,,1.143788068,4.724538732,42,45.44296634,13.06631221,18.41264485,21.99980767,0,4.714244501,1.393078061,3.945566754,3,7.624,16,6.381703528,-8.397909949,-6.007149955,
Walker Buehler,31,SD,SP,,2.692084996,5.077348994,61,63.10529167,26.30187976,35.48801223,32.91983847,0,4.857025348,1.465691335,5.235936231,5,9.472,25,8.903708544,-8.689024695,-6.2982647,543
Michael Lorenzen,34,COL,SP,,6.605539121,9.850581725,139,150.7260609,50.29368479,113.019244,81.59587702,0,5.283186282,1.446185221,7.317792776,8,25.384,26,23.39977698,-9.692076309,-7.301316315,
Chase Dollander,24,COL,SP,,5.222836872,9.008150602,113,119.2710163,49.72990657,96.44466586,67.06192861,0,5.341215553,1.495583388,7.681433564,5,22.936,23,18.11800218,-10.00528432,-7.614524327,
Jose Quintana,37,COL,SP,,6.67656804,9.754431473,139,156.5091221,54.84979489,95.41554263,83.7137779,0,5.420316555,1.520567748,6.177984775,8,25.084,25,21.15986992,-11.45667982,-9.065919821,
